,title
10,"На сегодняшний день, следование договоренностям, что давно исчерпали для Скорпионов свою привлекательность, так же плохо для дальнейшего развития, как десяток чашек кофе в качестве способа победить бессонницу. Скорпионам следует помнить о вышесказанном, если ваша оригинальная программа и вовлеченные в нее стороны давно не соблюдают принцип взаимовыгодного сотрудничества."
11,"В происходящем вокруг Весов не все так четко и ясно как может показаться окружающим, к счастью в вашем распоряжении есть множество дорог, по которым можно пойти по пути к достижению ваших целей. Некоторые особенно одаренные представители оппозиционного клана сделают попытку воспользоваться уязвимым положением Весов, вам следует быть готовыми к такой ситуации и при малейших признаках беспощадно отражать нападки."
12,"В этот день чувство ограниченности и пределов, за которые окружающие вас люди не в состоянии переступить, у Скорпионов будет особенно обостренно. Если ваши моральные принципы позволяют вам воспользоваться таким преимуществом, действовать нужно безотлагательно, поскольку сегодня Скорпионы как никогда ранее будут хорошо знать на что способны не только ваши враги, но прекрасно осведомлены о возможностях ваших союзников."
13,"В этот день Скорпионам должно повести в деловой сфере. Наступает благоприятный период для продвижения долгосрочных проектов, заключения соглашений и договоров. Есть большая вероятность того, что в ближайшее время вы войдете в контакт с нужными вам людьми, кто в свою очередь будет весьма полезен в продвижении ваших амбициозных планов. Это время проверки ваших навыков, не стойте на месте, действуйте."
14,"Старайся в это воскресенье не сидеть дома, погуляй, ведь именно сегодня у тебя есть шанс встретить свою судьбу, главное - поверить в это. Множество мелких накладок может случиться этим утром. В конфликтных ситуациях не спеши оказывать давление. Можешь посвятить сегодняшний вечер визиту в кинотеатр. Если найдется свободная минутка, полистай телефонную книгу своего мобильника. Возможно, ты сочтешь нужным позвонить своей школьной подруге. Подозрительность может повредить тебе сегодня. Недоверие к действиям и словам близкого человека породит в твоей душе уныние. Весьма вероятно, что возникнет ссора. Постарайся сдерживать себя. Лучше не рисковать денежными средствами, участвуя в азартных играх или капиталовложениях. Надежды на помощь со стороны близких не оправдаются. Все в твоих руках. Помни о своем здоровье. Сегодня нужно поберечь коленки - они подвержены заболеваниям."
15,"Для постоянных гостей официальных приемов очень подойдут длинные платья из бархата, подчеркивающие оригинальность и вкус их обладательницы. Тебя ждут выгодные предложения, однако, не пори горячку. Учти, сегодня есть вероятность неправильно истрактовать все знаки и предсказания, в том числе и гороскопы. Отдохни сегодня вечером в приятной компании. Звезды предостерегают, что твое легкомыслие может аукнуться. Дух счастья проникает в твою жизнь, у тебя творческие планы, появляются новые друзья. Не следует позволять своей усталости испортить тебе настроение - это приведет к конфликтам с близкими. Как обычно, спустя некоторое время никто не вспомнит, что послужило причиной разногласия. Если ты и впрямь настроена решительно, можно поискать новое место службы."
16,"Неожиданные поручения от начальника повергнут тебя в полное уныние, неожиданно возникнув на горизонте. В твоей семье временное охлаждение чувств непонимание, разочарования. Не стоит накалять страсти. Будет разумным, если ты выберешь тактику выжидания, не стоит сейчас открыто идти напролом, отстаивая собственное мнение. Такая тактика поможет тебе с меньшими потерями достичь того же самого результата. Вполне возможны размолвки с любимым человеком. Впрочем, сегодня они закончатся бурными объятиями и признаниями в любви. Стремление любить и быть любимой сегодня станет особенно сильным. Количество забот и проблем все растет, а силы твои не бесконечны и здоровье только одно. Не следует перегружать себя. Нужно больше отдыхать и чаще проводить время на свежем воздухе. День только начался, а ты уже чувствуешь себя разбитой. Тебе нужно собраться, если ты хочешь сделать сегодня что-то полезное. Не теряй самообладания, держи все под контролем, и в недалеком будущем ты будешь вознаграждена. Не исключено, что вечером на тебя нахлынут творческие порывы, следуй за ними, и ты не пожалеешь об этом: приготовь что-нибудь вкусное или займись своей квартирой."
17,"Денежные проблемы могут успешно разрешиться, хотя бы в виде материальной помощи. День неплохой, ровный и уравновешенный. Твое снисходительное отношение к сотрудникам может привести к недовольству начальства. Лучше, пока не поздно, постарайся взять себя в руки и поменять свое отношение к окружающим. собраться С утра ты как вялая черепаха. Может, это и неплохо, но в твоих же интересах быть немного активнее. Сегодня лучше не делать никаких выводов, было бы правильным разобраться со своим поведением. Остаток дня лучше провести в уединении, неплохо бы немного релаксировать. Обстановка вряд ли окажется благополучной, на каждом шагу будут вторгаться непредвиденные обстоятельства, эмоциональность ожидается повышенная, а логические выводы окажутся по силам лишь немногим представительницам прекрасного пола. Здоровье не улучшится."
18,"Сегодня удачный день, чтобы пойти за покупками. Только не сори такими деньгами, о которых вскоре придется пожалеть. Звезды обещают тебе сегодня удачное завершение начатых дел. На работе, возможно, стоит проявить некоторую агрессивность в делах. Вероятно, придется тесно общаться с человеком, к которому ты не испытываешь симпатии. Целый день ты взираешь на мир с затаенной тоской в глазах и ожиданием близкого счастья. Прямо таки витаешь в облаках, позабыв о грешной земле. Все дело в том, что таинственный некто, сделал пару туманных намеков, относительно тебя. Не стоит обращать внимание на завистливые слова, которые бросают тебе окружающие, и неровности событийного пути, то и дело заставляющие тебя быть в напряжении."
19,"Существует опасность чересчур увлечься работой: супружеская половина вряд ли будет довольна твоей чрезмерной занятостью, а коллеги удивлены и насторожены твоим рвением. Возможно ухудшение болезни. Звезды предупреждают, что сегодня вероятны ссоры с людьми, которые пытаются давать тебе советы и влиять на твои решения, надавив на тебя или долго и нудно убеждая в своей правоте. Удовольствие и прекрасное расположение духа принесет общение с любимым человеком. Движущей энергией дня является страсть. Не скрывай своих эмоций. Хороший день для любовного свидания. Начало дня будет весьма сложным. Сегодня нельзя отмахиваться от проблем, даже если ты очень устала. Вечер пятницы - самое подходящее время, чтобы забыть о ворохе накопившихся неприятностей. Позволь себе немного расслабиться. Пройдись по магазинам"
20,"От твоих поступков этим утром зависит то, каким будет остаток дня. Сделай перерыв в работе, развейся и восполни нехватку общения с интересными и приятными людьми. Вечером нанеси визит в клуб. В этот день не исключены провалы, предопределенные сверхъестественными силами, потому их сложно избежать. Возможны трения, некоторые материальные осложнения в семье. Вряд ли стоит не обращать внимания на возникающее недомогание, необходимо своевременно принимать своевременные меры. Нужно помнить, что любой недуг проще излечить на первой стадии развития. Весь сегодняшний день ожидаются неприятные конфликты, тем или иным образом связанные с деньгами, в отношении которых еще вчера все было в порядке, а сегодня оказалось , что их нет. Сегодня потрать больше, чем обычно, времени на свой маникюр."
21,"Будь внимательна со своим здоровьем, в случае, если ты куришь, то сегодня стоит сократить количество выкуриваемых сигарет. Постарайся уделять себе больше внимания. Частично смени свой гардероб. Объективно оцени свой внешний вид, может быть, пришло время что-то поменять и в нем? Например, приобрести одежду более радостных оттенков. Твое финансовое положение может ухудшиться. Сегодня попробуй встать с постели с той ноги, не зацикливайся особенно на мелочах. Постарайся воздержаться от критики в этот день, даже если для этого понадобится собрать волю в кулак. Иначе ты можешь получить врага на всю жизнь. Сегодня ты можешь пострадать от тех, кто живет под защитой Урана. Чувствуешь, что приближается депрессия. Но не надо прибегать ни к каким экстренным мерам. Просто запланируй на вечер выход в свет: вечеринка, выставка или дружеские посиделки."
22,"Постарайся умерить свою подозрительность. Недоверие к действиям и словам близкого человека породит в твоей душе уныние. Вероятность ссоры весьма велика. Будет лучше настроить себя на мирный лад изначально. День насыщен событиями и разными приключениями, только при необходимости желательно суметь трезво взглянуть на вещи. Не принимай близко к сердцу сплетни коллег, не позволяй им задеть себя. Весьма вероятны потрясающие предложения, поостерегись принимать поспешные решения, время работает на тебя. Не будь слишком предвзята! Ощущение независимости замечательно, если оно не отравляет жизнь окружающим. Было бы неплохо немного погулять перед тем, как ложиться спать. Фортуна будет с тобой на протяжении всего дня. В этот день лучше не проводить воздушные процедуры, заменив их лечением магнитной водой."
23,"Повышенного внимания требует ситуация внутри семьи. Может, стоит уделять себе больше внимания. Частично смени свой гардероб. Объективно оцени свой внешний вид, может быть, пришло время что-то поменять и в нем? Например, длину юбки: от макси к мини. Утром не исключено, что у тебя возникнут непредвиденные сложности с транспортом и ты опоздаешь по своим делам. Оглянись по сторонам. Сегодняшний день не обещает ничего сверхинтересного, если только ты не будешь активно иcкать приключений на свою бестолковую голову. Вечером можно заглянуть в гости, только не зависай там надолго. Тебя переполняют идеи, но что касается их претворения в жизнь, здесь все туманно и ненадежно. Сегодня возрастает возможность ушибов и других травм. Финансовое положение далеко от идеального, деньги утекают сквозь пальцы. Но белая полоса не за горами."
24,"Этот день подходит для завершение крупных проектов, а также расставания с теми вещами или отношениями, которые ты считаешь ненужными или вредными для тебя. Может быть особенно уязвим желудочно-кишечный тракт. Наступившее утро ты рискуешь провести в тотальных, но безуспешных поисках какой-нибудь вещи, а в результате ты можешь опоздать на работу. Это удачный период для реорганизации деятельности и увеличения сферы контроля - прежде всего, над собой. Остаток дня проведи не в шумной компании, а в уединении, накапливая свои эмоциональные силы. Помни, что, попортив настроение всем вокруг, легко можно и заболеть от эмоционального истощения. Если ты не расположена в этот день крутить любовный роман, то побудь день дома. В начале дня не исключены неожиданные затраты, это может повлечь за собой ограниченность в материальном плане."
25,"Если сегодня твоя нерастраченная энергия будет перехлестывать через край, постарайся ее все-таки обуздать. В противном случае твой возлюбленный может быть неприятно удивлен твоим поведением. Перед тобой снова может возникнуть проблема правильного соотношения труда и отдыха в собственной жизни. На работе можно не слишком напрягаться. Сегодняшний день не обещает срочной неотложной работы. Сегодняшний день привносит оптимизм в твою жизнь. Но не обольщайся - радоваться еще рано."
26,"Сегодня должны разрешиться проблемы со здоровьем, которые мучили тебя в течение последнего времени. Будь осмотрительнее в финансовых вопросах: сегодня тебя могут ожидать, на первый взгляд, заманчивые предложения, но лучше от них отказаться. Утром необходимо внимательно отнестись к советам родственников, причем особо ценные стоит принять на вооружение. Не сетуй на отсутствие поддержки и понимания. И если захочешь немного расслабиться, просто займись чем-то другим и не думай о проблемах. Последний день рабочей недели принесет чувство усталости. Не забывай, что, попортив себе и окружающим настроение, легко можно стать жертвой эмоционального истощения. Фантастически удачный период. С этого дня у тебя появятся отличные возможности повышения во всех сферах жизни, также у тебя есть шанс воплотить в жизнь все свои мечты. Только сразу реши, на что тебе стоит тратить свое внимание, чтобы не растратить удачу попусту. Сегодня ты обаятельна и чувственна, полна любви к окружающим и стремления сделать для них что-то приятное."
27,"Сегодня есть повод для того, чтобы посетить салон красоты. Не обязательно проводить там весь вечер, но все же будет не лишним пройти пару другую процедур для поддержания твоего очарования. Удачными могут оказаться небольшие операции с денежными средствами. Не жалей времени, уделенного своим родным, это может принести тебе ощущение тыла. Утро начнется с удивительных событий, что заставит тебя посмотреть на мир другими глазами. В этот день будь готова к новым предложениям, незамедлительно реагируй и приступай к их воплощению. Расслабься сегодня вечером в приятной компании."
28,"Не нужно откладывать примирение после недавней ссоры с домочадцами в долгий ящик, лучше найти в себе силы выяснить все недоразумения в самое ближайшее время. Есть вероятность финансовых неудач. Не позволяй беспокойству из-за денег портить твое настроение. Проведи побольше времени перед зеркалом, и кто тебе сказал, что так проводят время, кривляясь собственному отражению и гримасничая, только подростки. Сон, посетивший тебя этой ночью, может оказаться вещим. Не обращай внимание на неудачников, создающих сложности во всем вокруг. Вечер не обязательно проводить дома, сегодня у тебя есть шанс повеселиться и немного расслабиться."
29,"Сегодня стоит обдумать возможность возобновления старых знакомств. Сегодня ускорен обмен веществ, и при такой интенсивности нарушается процесс насыщения крови кислородом, то есть кислород очень быстро расходуется, а продукты обмена не успевают быстро выводиться, шлаки подолгу циркулируют в крови. Это вызывает различные кожные заболевания. В личной жизни наметится некий пересмотр существующих отношений. Неожиданно откроется новая возможность для осуществления собственных интересов. Дети беспокоить не будут. Не даром говорят: понедельник - день тяжелый, сегодня ты будешь буквально завалена делами, но не нужно расстраиваться. Звезды говорят, что результат от работы превзойдет все, даже самые нескромные, ожидания. Не будь слишком неуравновешенной. Поклонники серьезно обидятся на тебя. Этот вечер пройдет совершенно без каких либо событий. Заранее озаботься своими планами на вечер, впрочем, если ты хочешь провести этот вечер дома, то ничего не стоит планировать. Поездка будет напрасной тратой времени. День двойственный. С одной стороны, он будет способствовать разрешению многих противоречий. Но, с другой, ситуация обещает быть очень эмоциональной, чреватой неожиданностями и ссорами."
30,
31,"Актуальна покупка белья, облегающих юбок и брюк, верхней одежды. Не стоит увлекаться новыми проектами, о которых ты узнаешь из слухов, особенно, если они связаны с крупными вкладами денег. Есть опасность неблагополучного исхода. В этот день тебя ждет полная идиллия с любимым человеком. Некоторое охлаждение твоих чувств сменится совершенно безоблачным счастьем. У влюбленных голубков благополучно решится вопрос взаимоотношений с родителями. Звезды рекомендуют подходить сдержано ко всему, что случится утром. Постарайся не втягиваться в разные непредсказуемые предприятия, не стоит во всем слушать подружек. Вечером, возможно, образуется подходящая ситуация для укрепления отношений с любимым мужчиной."
32,"Недавно появившаяся дружба вытеснит старую. В рабочих делах постоянно возникают препятствия. Вероятно, где-то была допущена ошибка. Не впадай в депрессию из-за ограниченности финансов. Помни, не в деньгах счастье. Вероятно зарождение скрытой измены и обмана в любви. Экономно расходуй силы и не пренебрегай профилактикой."
33,"Удачный день для активных людей. Отличный день для кардинального изменения внешности. Все косметические процедуры в этот день принесут максимум эффекта. Звезды говорят, что сегодня успех сопутствует в компьютерном бизнесе. Вероятна стабилизация в отношениях с правоохранительными службами. Не нужно быть слишком требовательной, твой возлюбленный сам осознаёт свои ошибки, и изо всех сил старается их исправить."
34,"Не зацикливайся на собственном здоровье. Относись к проблемам более спокойно. Вот волнение как раз и может их вызывать. Не рекомендуется есть выпечку. Желательно оставить перекусывание на бегу и бутерброды в прошлом, пощади свой желудок. В этот день, тебе нужно сдерживать себя во время похода по магазинам, чтобы в последствии не ощущать острого недостатка средств. В начале дня ты как вялая черепаха. Может, это и неплохо, но в твоих же интересах быть несколько мобильнее. Прими во внимание, что сегодня ты можешь неверно понять все знаки и предсказания, в том числе и гороскопы. Строя планы на нерабочие дни, не упусти из вида тот факт, что в это время у тебя ярко выражен аспект творчества. В этот день независимость и спокойствие в любой ситуации принесут заслуженное признание. Тебе придется испытывать неудобство от необходимости общаться с некоторыми людьми, но ты не можешь изменить положение дел. Сегодня , возможно, осуществится твое стремление коренным образом изменить свою личную жизнь."
35,"Сегодня попробуй встать с постели с той ноги, сразу настройся на активный лад. Играй по-крупному, все рискованные действия сегодня тебе на пользу. Отдохни в этот вечер в комфортной обстановке. Сегодня вероятны небольшие деловые поездки. В это день можно ожидать от своего любимого неожиданного сюрприза. Не скрывай своих эмоций, он будет счастлив, что сумел порадовать тебя. Разумно трать свои силы и не пренебрегай профилактикой. Очень интересный день, но все-таки осторожнее на поворотах! Особенно в конце дня."
36,"Возможен конфликт в семейном кругу. Ближе к концу дня постарайся воздержаться от крупных финансовых растрат. Настало время заново переоценить свои отношения с любимым, будь более терпимой к особенностям его характера. В первой половине дня тебе предстоит пережить какое-то неожиданное известие. Сегодня тебе следует повнимательнее отнестись к мелочам, насколько бы глобальны ни были занимающие тебя вопросы. Стоит пропустить одну из них, и назавтра одним глобальным вопросом станет больше. Встречи с близкими родственниками или старыми приятелями принесут тебе массу новых впечатлений и идей. Может, сделать этот день днем примирения?"
37,"Главное сегодня не браться за заманчивые предложения - возможна недобросовестность клиентов. Будь осмотрительнее в общении с окружающими. Следует обещать только то, что сможешь выполнить. Вечер не обязательно проводить дома, сегодня можно отдохнуть и немного расслабиться. День, начавшийся с неприятного происшествия, к вечеру может улучшиться. В конце дня можно ожидать приятного сюрприза. Ты чего-то выиграешь, кого-то встретишь. В общем, есть масса приятных неожиданностей, приготовленных для тебя. Тебе только нужно быть достаточно собранной, чтобы не упустить их. День необычных, неожиданных известий. Твое безалаберное отношение к карьере может вызвать неодобрение. Ты рискуешь потерять работу, пора взяться за ум и что-то изменить в профессиональной сфере. Обращайся аккуратнее с острыми предметами - есть опасность травм."
38,"Тебе нужно понимать, что прием пищи должен быть регулярным, а блюда хорошо приготовленными. Не пренебрегай этими правилами. Постоянный стресс не самым хорошим образом отражается на внешности. Возможно, самые близкие люди не смогут выдержать сегодня твоего неадекватного поведения. Отношения со свекровью могут вскипеть так, что мало не покажется, если ты не попытаешься пойти на компромисс. Бескомпромисные замечания подруг могут внезапно сбить тебя с толку и ввести в заблуждение. Постарайся быть более независимой и свободной от мнения других. Придерживайся своей точки зрения. Стоит обращать внимание на мелочи, даже несмотря на то, что они тебя утомляют. Они пригодятся тебе, особенно в вопросах, связанных с крупными капиталовложениями."
39,"Основное правило - нравиться себе. Сегодня не рекомендуется перемещаться по улицам с крупной суммой в сумочке. Звезды предупреждают, что поссориться сегодня с коллегами - пара пустяков. Будь внимательна, не поддавайся эмоциям. Идеальный день для реализации свежих творческих идей, которые давно у тебя зародились, но выхода которым ты все еще не даешь, так как боишься, что кто-то из твоих недругов способен поставить тебе подножку, а ты упадешь и сильно ударишься. Так же день подходит для неординарного решения наболевших проблем. Сегодня ты склонна погрузиться в пучину печальных сомнений, это становится заметным и в личных отношениях. Помни, семья - это самое ценное, что есть у человека, и от тебя во многом зависит ее благополучие."
40,"Пора позаботиться о себе, о своей нервной системе, перегрузки на работе вряд ли пойдут ей на пользу. Тебе нужно равномерно распределять физическую нагрузку, есть опасность неправильно оценить свои силы. В ближайший период не стоит заниматься диетами и голоданием. Сегодня тебе нужно встать с кровати с той ноги, не зацикливайся особенно на мелочах. У звезд сегодня выходной, так что важных событий они тебе предсказывать не будут. Сегодня самый подходящий день для разных вечеринок. Даже ординарное событие может показаться таинственным, когда происходит с тобою в первый раз. Сегодняшний день готовит тебе подобное переживание. Не волнуйся - все будет хорошо, ведь у тебя есть на кого положиться. На работе нервозная обстановка. Периодически хочется встать и уйти из этого кошмара. Постарайся сориентироваться в происходящем. Главное - это правильно оценить расстановку сил. Не стоит принимать необдуманных решений. Куда-то пропадет твоя бдительность, ты станешь крайне несобранной. Поэтому избегай крупных магазинов, контролируй свои траты, предельно аккуратно относись к своим вещам. День не предназначен для того, чтобы штурмовать вершины, карабкаться на пьедесталы и строить далеко идущие планы."
